word,n,sentiment,new_df_select_category1
不見,28,negative,v
包容,28,positive,v
包容,28,negative,v
委屈,28,negative,v
承受,28,negative,v
恢復,28,positive,v
真實,28,positive,d
偷偷,28,negative,d
亂,28,negative,d
壞,28,negative,a
心軟,27,positive,a
心軟,27,negative,a
成功,27,positive,a
完美,27,positive,a
勇敢,27,positive,a
假裝,27,negative,n
理智,27,positive,n
實說,27,positive,v
聲音,27,negative,n
蠻,27,negative,d
不知,26,negative,v
不理,26,negative,v
他媽,26,negative,x
可怕,26,negative,c
自信,26,positive,v
執著,26,positive,a
執著,26,positive,a
專心,26,positive,n
強迫,26,negative,a
控制,26,negative,v
舒服,26,positive,a
溫暖,26,positive,an
錯誤,26,negative,n
不太,25,negative,x
心疼,25,positive,a
心疼,25,negative,a
安撫,25,negative,nr
高興,25,positive,b
參加,25,positive,v
莫名,25,negative,v
不肯,24,negative,v
失眠,24,negative,v
打擾,24,negative,v
忍受,24,negative,v
折磨,24,negative,v
享受,24,positive,v
所謂,24,negative,b
爭執,24,negative,v
疼,24,positive,v
高,24,positive,a
毫無,24,positive,v
毫無,24,negative,v
麻煩,24,negative,an
開玩笑,24,negative,v
憤怒,24,negative,v
一般,23,negative,a
心碎,23,negative,v
肯定,23,positive,v
哈哈,23,positive,o
鬼,23,positive,n
鬼,23,negative,n
傷人,23,negative,n
傷口,23,negative,n
傻眼,23,negative,n
滿足,23,positive,v
輕鬆,23,positive,a
確實,23,positive,ad
親密,23,positive,a
必要,22,positive,d
生病,22,negative,n
沉默,22,negative,a
固定,22,positive,a
信心,22,positive,n
氣,22,negative,zg
問候,22,positive,n
莫名其妙,22,negative,i
發展,22,positive,vn
經營,22,positive,vn
學習,22,positive,v
糟糕,22,negative,a
平淡,21,negative,a
任性,21,positive,n
任性,21,negative,n
老師,21,positive,n
自我,21,negative,r
困難,21,negative,an
取消,21,negative,v
垃圾,21,negative,n
忽略,21,negative,d
長久,21,positive,d
陌生,21,negative,n
差異,21,negative,n
動力,21,positive,n
密,21,positive,a
密,21,negative,a
猶豫,21,negative,a
愛上,21,positive,x
緊張,21,negative,a
說謊,21,negative,v
積極,21,positive,ad
隨便,21,positive,d
隨便,21,negative,d
幫助,21,positive,v
臨時,21,negative,b
心思,20,positive,n
主要,20,positive,b
平衡,20,positive,a
同意,20,positive,d
好不容易,20,negative,l
冷戰,20,negative,v
忘不了,20,positive,v
忘不了,20,negative,v
明顯,20,positive,a
注意,20,positive,v
流淚,20,negative,n
耐心,20,positive,a
脆弱,20,negative,a
乾淨,20,positive,a
堅定,20,positive,a
無奈,20,negative,d
超級,20,positive,b
愧疚,20,negative,a
不在乎,19,negative,i
不知不覺,19,negative,i
生,19,negative,vn
吃醋,19,positive,v
有種,19,positive,r
有種,19,negative,r
冷,19,negative,a
否定,19,negative,v
吸引,19,positive,v
困擾,19,negative,v
忍耐,19,positive,v
忍耐,19,negative,v
改善,19,positive,v
板,19,negative,ng
保護,19,positive,v
思念,19,positive,n
相同,19,negative,d
限制,19,negative,v
純粹,19,positive,a
追蹤,19,negative,v
從不,19,positive,d
掙扎,19,negative,v
清醒,19,positive,a
無限,19,positive,v
無聊,19,negative,a
緊緊,19,positive,d
罷了,19,negative,y
適應,19,positive,v
機車,19,negative,n
遺憾,19,negative,a
不耐煩,18,negative,a
不像,18,negative,x
安心,18,positive,v
安心,18,negative,v
何必,18,negative,d
利用,18,negative,n
投入,18,positive,v
決心,18,positive,v
依賴,18,negative,v
刻意,18,positive,v
