word,n,sentiment,new_df_select_category1
泡影,4,negative,nz
肥,4,positive,n
長遠,4,positive,n
哀傷,4,negative,d
哈,4,positive,v
怒,4,negative,nr
怒氣,4,negative,vg
挑剔,4,negative,n
枷鎖,4,negative,v
流眼淚,4,negative,n
珍貴,4,positive,n
美夢,4,positive,a
要命,4,negative,nz
降低,4,negative,v
倔強,4,positive,v
倔強,4,negative,a
容許,4,positive,a
狼狽,4,negative,v
疲憊,4,negative,an
疼痛,4,negative,a
神經病,4,negative,n
缺,4,negative,n
茫然,4,negative,v
迷路,4,negative,z
追究,4,negative,n
做人,4,positive,v
動不動,4,negative,n
動手,4,negative,l
問好,4,positive,n
培養,4,positive,v
基礎,4,positive,v
夠了,4,negative,n
婉轉,4,positive,x
專一,4,positive,v
患得患失,4,positive,b
患得患失,4,negative,i
惆悵,4,negative,i
捨棄,4,positive,a
掃地,4,negative,v
控訴,4,negative,n
推薦,4,positive,v
望,4,positive,v
殺,4,negative,v
猜忌,4,negative,v
猜想,4,negative,v
終止,4,negative,v
被當,4,negative,v
軟弱,4,negative,x
造就,4,positive,a
酗酒,4,negative,v
麻木,4,negative,v
勝過,4,positive,nr
喪失,4,negative,v
單,4,negative,v
富裕,4,positive,n
復發,4,negative,a
悲哀,4,negative,v
悲慘,4,negative,a
悶悶不樂,4,negative,a
惡,4,negative,i
惡魔,4,negative,zg
提心吊膽,4,negative,n
揪心,4,negative,i
減輕,4,positive,a
無憂無慮,4,positive,v
無緣無故,4,negative,i
痛心,4,negative,i
痛快,4,positive,v
發牢騷,4,negative,a
虛偽,4,negative,v
裂痕,4,negative,x
視窗,4,positive,n
詐騙,4,negative,n
買好,4,negative,vn
費,4,negative,v
進行,4,positive,zg
傾向,4,positive,v
微妙,4,positive,v
感嘆,4,negative,a
慌張,4,negative,v
慌亂,4,negative,a
搜尋,4,negative,a
新鮮,4,positive,v
準時,4,positive,ns
煩躁,4,negative,v
碎,4,negative,a
節制,4,positive,a
詭異,4,negative,v
詳細,4,positive,a
誠懇,4,positive,ad
漫無目的,4,negative,a
管理,4,positive,i
赫然,4,positive,vn
趕走,4,negative,z
鼻酸,4,negative,v
暴力,4,negative,n
確切,4,positive,n
請求,4,positive,ad
懊悔,4,negative,v
擅長,4,positive,v
操心,4,positive,v
操心,4,negative,v
擔憂,4,negative,v
諾言,4,positive,v
隨手,4,positive,nz
優秀,4,positive,d
懂事,4,positive,a
檢視,4,positive,v
豁達,4,positive,v
簡短,4,positive,a
寵壞,4,negative,v
難忘,4,positive,v
顛倒,4,negative,v
蠢事,4,negative,v
歡樂,4,positive,n
變淡,4,negative,a
變質,4,negative,v
一帆風順,3,positive,n
一成不變,3,negative,i
一貫,3,positive,i
一場空,3,negative,m
刁難,3,negative,n
乞求,3,negative,a
大吵大鬧,3,negative,v
大吼,3,negative,l
大眾,3,positive,x
大發雷霆,3,negative,x
大肆,3,negative,i
大罵,3,negative,d
不大,3,negative,x
不切實際,3,negative,a
不可收拾,3,negative,l
不可思議,3,positive,i
不可思議,3,negative,i
不平,3,negative,i
不死心,3,negative,n
不快,3,negative,i
不明不白,3,negative,d
不要臉,3,negative,l
不值,3,negative,l
不悅,3,negative,n
不配,3,negative,a
不得,3,negative,v
不得已,3,negative,v
不堪入目,3,negative,d
不厭其煩,3,positive,i
不懂事,3,negative,i
不難,3,positive,l
什,3,negative,d
公,3,positive,r
分心,3,negative,n
太好了,3,positive,v
心甘情願,3,positive,l
心甘情願,3,negative,i
心儀,3,positive,i
手段,3,negative,n
手軟,3,positive,n
斤斤計較,3,negative,n
出事,3,negative,i
半死,3,negative,v
可惡,3,negative,n
失控,3,negative,v
平穩,3,positive,vn
打下,3,positive,a
打敗,3,negative,v
打斷,3,negative,v
用力,3,negative,v
白目,3,negative,n
白費,3,negative,x
皮,3,negative,n
全力,3,positive,n
全新,3,positive,n
冰冷,3,negative,d
地震,3,negative,z
好處,3,positive,n
好話,3,positive,d
如願,3,positive,v
妄想,3,positive,v
妄想,3,negative,v
安好,3,positive,v
安穩,3,positive,a
尖叫,3,negative,a
尖銳,3,positive,v
尖銳,3,negative,a
有意思,3,positive,a
灰心,3,negative,l
自作多情,3,negative,n
自卑感,3,negative,l
自暴自棄,3,negative,n
血汗,3,positive,i
伸手,3,negative,n
但願,3,negative,v
佔據,3,negative,v
何苦,3,negative,v
免費,3,positive,d
冷眼,3,negative,vn
冷靜下來,3,negative,a
別離,3,negative,i
吶喊,3,negative,v
孝順,3,positive,v
完完全全,3,negative,nz
忍下來,3,negative,i
忍讓,3,negative,v
技術,3,positive,v
抓緊,3,positive,n
改觀,3,positive,v
牢騷,3,negative,v
狂歡,3,positive,n
私密,3,negative,v
系,3,negative,a
走人,3,negative,v
走散,3,negative,n
初衷,3,positive,v
協調,3,positive,d
受害者,3,negative,v
坦誠,3,positive,n
承受不住,3,negative,a
拉扯,3,negative,i
拖拖拉拉,3,negative,v
招待,3,positive,z
於事無補,3,negative,v
明眼人,3,positive,i
沮喪,3,negative,n
波折,3,negative,a
狗屁,3,negative,vn
直率,3,positive,n
直覺,3,positive,n
知足,3,positive,n
阻力,3,negative,v
附和,3,negative,n
保險,3,positive,v
冠冕堂皇,3,negative,n
哎呀,3,negative,i
宣判,3,negative,e
急忙,3,negative,vn
急躁,3,negative,d
怨懟,3,negative,a
拯救,3,positive,v
指教,3,positive,v
是的,3,positive,n
流言,3,negative,v
疤痕,3,negative,uj
相差,3,negative,n
盼望,3,positive,n
看不見,3,negative,v
看不起,3,negative,v
科學,3,positive,v
突如其來,3,negative,v
美,3,positive,n
美滿,3,positive,i
胡言亂語,3,negative,ns
英雄,3,positive,a
要死要活,3,positive,i
要死要活,3,negative,ns
重大,3,positive,n
重要性,3,positive,n
風趣,3,positive,a
風險,3,negative,n
修好,3,positive,n
展現,3,positive,n
差勁,3,negative,v
弱勢,3,negative,v
恐慌,3,negative,n
核心,3,positive,n
殷勤,3,positive,an
殷勤,3,negative,n
氣憤,3,negative,nr
氣質,3,positive,nr
浪潮,3,positive,n
疲倦,3,negative,n
疲累,3,negative,n
病毒,3,negative,a
破口大罵,3,negative,a
破洞,3,negative,n
神,3,positive,i
神經,3,negative,n
純真,3,positive,n
荒謬,3,negative,n
討好,3,positive,a
討好,3,negative,a
託付,3,positive,v
財產,3,positive,v
迷迷糊糊,3,negative,v
迷戀,3,positive,n
迷戀,3,negative,z
退出,3,negative,v
骨折,3,negative,v
高姿態,3,positive,v
鬥嘴,3,negative,n
偉大,3,positive,l
偏向,3,negative,ns
做夢,3,negative,a
啜泣,3,negative,n
執迷不悟,3,negative,v
婊子,3,negative,v
將心比心,3,negative,i
強,3,positive,n
強,3,negative,i
強大,3,positive,zg
強壓,3,negative,zg
徘徊,3,negative,a
敗,3,negative,v
毫不猶豫,3,positive,v
淡然,3,negative,v
混蛋,3,negative,l
清白,3,positive,z
清明,3,positive,n
清理,3,positive,a
爽快,3,positive,a
牽強,3,negative,a
牽掛,3,positive,a
牽掛,3,negative,v
略,3,positive,v
疏忽,3,negative,v
笨拙,3,negative,d
陰霾,3,negative,v
復仇,3,negative,a
悲痛,3,negative,n
悶著,3,negative,v
智慧,3,positive,a
最低,3,negative,x
欺負,3,negative,nr
殘,3,negative,a
無可奈何,3,negative,v
無效,3,negative,n
無能,3,negative,i
無盡,3,positive,a
痛恨,3,negative,v
發抖,3,negative,d
發燒,3,negative,v
硬生生,3,negative,v
舒適,3,positive,v
著迷,3,positive,n
貶低,3,negative,a
進展,3,positive,v
開導,3,positive,v
順手,3,positive,vn
嗜好,3,positive,v
圓滿,3,positive,d
媽的,3,negative,v
意志,3,positive,a
愛戀,3,positive,x
感到痛苦,3,negative,n
搖搖,3,negative,nr
暖流,3,positive,i
當頭棒喝,3,negative,v
督促,3,positive,n
碎裂,3,negative,i
義無反顧,3,positive,v
落魄,3,negative,v
誠摯,3,positive,i
逼迫,3,negative,a
過多,3,negative,a
過問,3,positive,v
過節,3,negative,x
道德,3,positive,v
道謝,3,positive,t
嘆,3,positive,nr
嘆氣,3,negative,nr
實,3,positive,zg
摧毀,3,negative,v
漂泊,3,negative,n
漂浮,3,negative,v
漂漂亮亮,3,positive,v
算計,3,negative,v
精心,3,positive,z
精采,3,positive,v
緊急,3,negative,n
趕上,3,positive,v
輕描淡寫,3,negative,a
劇烈,3,negative,d
嘻嘻哈哈,3,positive,i
嘻嘻哈哈,3,negative,a
增長,3,positive,z
墳墓,3,negative,z
審慎,3,positive,v
履行,3,positive,n
廢人,3,negative,a
廢物,3,negative,v
慾望,3,negative,n
憔悴,3,negative,n
摯愛,3,positive,v
撫慰,3,positive,a
暫停,3,negative,n
暴怒,3,negative,v
樂,3,positive,d
樂趣,3,positive,v
毅然決然,3,positive,a
潑,3,negative,a
熱愛,3,positive,i
緩慢,3,negative,v
罵人,3,negative,a
鄭重,3,positive,d
養活,3,positive,n
魯,3,negative,a
噩夢,3,negative,vn
奮鬥,3,positive,nr
擔當,3,positive,n
融洽,3,positive,v
親切,3,positive,v
親暱,3,positive,v
賴,3,negative,a
遺失,3,negative,x
錯覺,3,negative,nr
壓迫,3,negative,n
擠,3,negative,n
瞧不起,3,negative,v
矯情,3,negative,v
縮減,3,negative,v
艱辛,3,negative,a
艱難,3,negative,v
謊話,3,negative,a
豁然開朗,3,positive,a
輾轉,3,negative,n
隱隱約約,3,negative,i
鞠躬,3,positive,v
擺設,3,negative,z
歸咎,3,negative,v
翻臉,3,negative,v
謾罵,3,negative,v
鎮定,3,positive,v
雜事,3,negative,v
壞掉,3,negative,v
壞脾氣,3,negative,n
壞話,3,negative,v
寵,3,positive,n
寵愛,3,positive,n
寵愛,3,negative,v
懶惰,3,negative,v
關懷,3,positive,v
獻殷勤,3,negative,a
驅使,3,negative,nr
歡迎,3,positive,v
聽話,3,positive,v
戀,3,positive,v
變相,3,negative,v
驚覺,3,negative,v
一如既往,2,positive,n
一見鍾情,2,positive,a
一塵不染,2,positive,i
一幫,2,negative,i
一蹶不振,2,negative,i
了不起,2,positive,m
了不起,2,negative,i
二心,2,negative,v
人身攻擊,2,negative,v
人性,2,positive,n
人為,2,negative,i
人格,2,positive,n
人情,2,positive,x
入侵,2,negative,n
口角,2,negative,n
土,2,negative,v
大力,2,positive,n
大力,2,negative,zg
大怒,2,negative,n
大道,2,positive,n
大錯,2,negative,x
大膽,2,positive,n
大膽,2,negative,x
小康,2,positive,n
才華,2,positive,n
不及格,2,negative,nr
不以,2,negative,nr
不可否認,2,positive,i
不可否認,2,negative,c
不必要,2,negative,i
不好過,2,negative,i
不妥,2,negative,l
不佳,2,negative,l
不受,2,negative,a
不明,2,negative,x
不近,2,negative,v
不便,2,negative,v
不信,2,negative,x
不為,2,negative,c
不耐,2,negative,v
不屑,2,negative,x
不高,2,negative,a
不清不楚,2,negative,v
不許,2,negative,x
不善,2,negative,l
不等,2,negative,d
不準,2,negative,v
不聞不問,2,negative,a
中心,2,positive,v
中興,2,positive,l
中斷,2,negative,n
仁慈,2,positive,ns
仇恨,2,negative,ns
分寸,2,positive,nr
友愛,2,positive,n
巴,2,positive,n
幻滅,2,negative,a
心不在焉,2,negative,ns
心平氣和,2,positive,v
心情沉重,2,negative,i
心聲,2,positive,i
文才,2,positive,i
文靜,2,positive,n
日久生情,2,positive,n
木訥,2,negative,n
火大,2,negative,n
火花,2,positive,z
牛,2,negative,a
王八蛋,2,negative,n
主觀,2,negative,n
令人羨慕,2,positive,nr
出爾反爾,2,negative,n
包涵,2,positive,l
包涵,2,negative,nz
古典,2,positive,v
可有可無,2,negative,v
可恨,2,negative,ns
可恥,2,negative,l
可貴,2,positive,v
失利,2,negative,a
失調,2,negative,a
左右手,2,positive,vn
巧,2,positive,v
巨大,2,positive,m
平和,2,positive,a
平等,2,positive,a
平順,2,positive,a
打架,2,negative,a
打滾,2,negative,nr
未必,2,negative,v
未知數,2,negative,v
正直,2,positive,d
永垂不朽,2,positive,i
甘願,2,positive,d
生死,2,positive,i
生育,2,positive,n
生怕,2,negative,v
生疏,2,negative,vn
甩了,2,negative,v
示弱,2,negative,n
丟棄,2,negative,v
先進,2,positive,ul
光芒,2,positive,v
全無,2,negative,v
吃力,2,negative,a
吃屎,2,negative,n
吃虧,2,negative,x
合拍,2,positive,n
合格,2,positive,v
多心,2,negative,v
好喝,2,positive,v
好意,2,positive,n
好聲好氣,2,positive,n
安安靜靜,2,positive,v
安康,2,positive,v
安然,2,positive,l
成果,2,positive,z
成效,2,positive,nr
收穫,2,positive,nr
曲折,2,negative,n
有名,2,positive,a
有意,2,positive,v
有意,2,negative,a
死了,2,negative,a
自大,2,negative,v
自由自在,2,positive,v
自立,2,positive,v
自作自受,2,negative,ul
自怨自艾,2,negative,a
自動,2,positive,i
行時,2,positive,v
低聲,2,negative,l
何不,2,negative,i
冷汗,2,negative,vn
冷風,2,negative,n
冷酷,2,negative,n
刪去,2,negative,d
吵起來,2,negative,nr
吹捧,2,negative,n
告吹,2,negative,a
完了,2,negative,v
希,2,positive,v
希冀,2,positive,v
志同道合,2,positive,v
抑制,2,negative,v
改過,2,positive,ul
求求,2,negative,v
求救,2,positive,nr
求救,2,negative,i
求解,2,negative,v
決定性,2,positive,v
沈悶,2,negative,v
沉靜,2,positive,v
沒收,2,negative,v
沒完沒了,2,negative,v
沒來由,2,negative,n
沒理,2,negative,n
沒道理,2,negative,a
災難,2,negative,v
辛勞,2,positive,l
迂迴,2,negative,l
乖巧,2,positive,x
使命,2,positive,l
依依不捨,2,positive,n
典型,2,positive,nz
制止,2,negative,v
刺耳,2,negative,a
刺骨,2,negative,v
取得,2,negative,i
受苦,2,negative,n
受挫,2,negative,v
周全,2,positive,n
咄咄逼人,2,negative,n
和樂,2,positive,v
和諧,2,positive,v
咒罵,2,negative,v
始終如一,2,positive,nr
尚未,2,negative,i
忠告,2,positive,nz
抱不平,2,negative,a
拓展,2,positive,v
拘束,2,negative,i
拙劣,2,negative,d
旺盛,2,positive,n
沾沾自喜,2,positive,i
沾沾自喜,2,negative,v
泡湯,2,negative,v
物理,2,positive,a
知己,2,positive,a
知心,2,positive,i
迎合,2,negative,i
迎來,2,positive,n
迎接,2,positive,n
長者,2,positive,n
長短,2,negative,v
保守,2,negative,v
勃然大怒,2,negative,v
勉勵,2,positive,v
厚,2,positive,n
哀怨,2,negative,z
哀悼,2,negative,v
品嚐,2,positive,i
孩子氣,2,negative,v
宣稱,2,negative,a
帥氣,2,positive,v
幽靈,2,negative,v
很氣,2,negative,v
很爽,2,positive,n
急於,2,negative,v
怨言,2,negative,n
拜拜,2,positive,n
故態復萌,2,negative,a
柔,2,positive,a
毒,2,negative,d
活力,2,positive,n
活該,2,negative,ns
流行,2,positive,i
流逝,2,negative,v
流連,2,positive,zg
珍重,2,positive,n
畏懼,2,negative,v
看重,2,positive,v
看淡,2,negative,v
矜持,2,negative,v
紀念品,2,positive,a
約束,2,negative,v
美美,2,positive,v
美景,2,positive,v
美感,2,positive,v
耍賴,2,negative,n
耐性,2,positive,vn
苟延殘喘,2,negative,ns
苦痛,2,negative,n
虐待,2,negative,ns
限定,2,negative,v
限度,2,negative,n
革命,2,positive,i
凌亂,2,negative,a
匪夷所思,2,positive,v
套話,2,negative,v
娛樂,2,positive,n
容,2,positive,vn
拳頭,2,negative,a
拿捏,2,negative,i
捍衛,2,positive,n
時尚,2,positive,vn
氣頭上,2,negative,a
浮動,2,negative,n
消沉,2,negative,v
狹隘,2,negative,v
留念,2,positive,n
畜生,2,negative,n
真他媽,2,negative,vn
真蠢,2,negative,v
破,2,negative,a
破產,2,negative,v
粉碎,2,negative,n
紛爭,2,negative,n
缺乏自信,2,negative,x
臭臉,2,negative,v
辱罵,2,negative,v
退役,2,negative,v
退學,2,negative,n
逃走,2,negative,i
高材生,2,positive,x
高度,2,positive,v
乾乾淨淨,2,positive,v
假想,2,negative,v
偷偷摸摸,2,negative,v
偷懶,2,negative,n
偽,2,negative,n
務實,2,positive,z
堅固,2,positive,n
堅信,2,positive,i
奢侈,2,negative,v
婉拒,2,negative,x
密切,2,positive,d
強制,2,negative,a
彩虹,2,positive,v
得意,2,positive,a
得意忘形,2,positive,v
得意忘形,2,negative,ad
得過且過,2,negative,v
悵然,2,negative,nz
情趣,2,positive,v
情願,2,positive,i
探望,2,positive,i
推託,2,negative,l
教導,2,positive,d
欲哭無淚,2,negative,n
毫不,2,positive,n
毫不留情,2,negative,v
毫無意義,2,negative,v
淪為,2,negative,n
淫亂,2,negative,i
深思,2,positive,d
牽連,2,negative,l
甜點,2,positive,l
絆腳石,2,negative,x
莫須有,2,negative,a
被遺棄,2,negative,n
規則,2,positive,v
責罵,2,negative,n
逗,2,positive,n
陰鬱,2,negative,i
創傷,2,negative,n
創意,2,positive,n
勝任,2,positive,v
喚起,2,positive,v
喜,2,positive,a
喜愛,2,positive,v
單一,2,positive,v
悲情,2,negative,n
惡言,2,negative,v
惡言相向,2,negative,v
惡性,2,negative,v
惡毒,2,negative,b
掌握,2,positive,n
敞開,2,positive,n
景色,2,positive,i
最佳,2,positive,n
最高,2,positive,n
殘破,2,negative,v
渾蛋,2,negative,v
渾渾噩噩,2,negative,n
湧現,2,positive,z
無形,2,negative,a
無底洞,2,negative,v
無動於衷,2,negative,n
無動於衷,2,negative,z
無辜,2,positive,x
無語,2,negative,b
無謂,2,negative,ns
無關緊要,2,negative,i
焦躁,2,negative,i
痛罵,2,negative,n
絕,2,negative,nz
給面子,2,positive,v
絲毫,2,negative,l
脾氣壞,2,negative,a
舒坦,2,positive,v
萌芽,2,positive,d
虛,2,negative,n
詛咒,2,negative,m
費心,2,positive,n
費心,2,negative,a
貼切,2,positive,v
貿然,2,negative,zg
超好,2,positive,v
超越,2,positive,n
開放,2,positive,n
開除,2,negative,a
集團,2,negative,d
黃金,2,positive,x
黑道,2,negative,v
亂丟垃圾,2,negative,v
亂搞,2,negative,v
傷神,2,negative,n
嗤之以鼻,2,negative,n
圓,2,negative,n
嫉妒,2,positive,n
嫉妒,2,negative,v
微微,2,positive,n
想不開,2,negative,i
意願,2,positive,n
愛面子,2,negative,v
愛慕,2,positive,v
愛護,2,positive,d
感同身受,2,positive,v
感恩,2,positive,n
搖搖欲墜,2,negative,n
毀滅,2,negative,nr
毀謗,2,negative,v
準確,2,positive,l
溜,2,positive,v
滔滔不絕,2,positive,i
照樣,2,positive,v
瑕疵,2,negative,v
當不了,2,negative,a
禁忌,2,negative,v
節奏,2,positive,i
節省,2,positive,d
節儉,2,positive,n
經不起,2,negative,t
經驗豐富,2,positive,v
罪名,2,negative,n
罪惡,2,negative,n
置之不理,2,negative,a
義氣,2,positive,l
萬全,2,positive,n
落井下石,2,negative,n
落落大方,2,positive,n
號角,2,positive,i
裝死,2,negative,n
誇大,2,negative,nr
誇獎,2,positive,i
誠心,2,positive,i
豢養,2,negative,n
逼不得已,2,negative,v
逼死,2,negative,v
逼婚,2,negative,v
違反,2,negative,a
違規,2,negative,v
隔離,2,negative,i
零碎,2,negative,v
預謀,2,negative,v
頓悟,2,positive,v
厭世,2,negative,vn
嘔吐,2,negative,v
夢寐以求,2,positive,a
寡言少語,2,negative,v
實行,2,positive,v
對付,2,negative,v
慘烈,2,positive,v
慘烈,2,negative,i
慚愧,2,negative,i
摧殘,2,negative,v
榮幸,2,positive,vn
槓上,2,negative,a
漫不經心,2,negative,a
疑,2,negative,a
疑神疑鬼,2,negative,v
盡心盡力,2,positive,nr
禎,2,positive,x
稱號,2,positive,i
端,2,positive,vg
精華,2,positive,l
緊迫,2,negative,i
認可,2,positive,g
誒,2,negative,n
誘惑,2,negative,v
豪,2,positive,nz
豪,2,negative,d
輔導,2,positive,v
輕,2,positive,e
輕,2,negative,v
辣,2,negative,n
鄙視,2,negative,n
鄙視,2,negative,vn
酸澀,2,negative,a
銘心,2,positive,a
障礙,2,negative,n
墮落,2,negative,v
嬌,2,positive,v
嬌,2,negative,a
嬌柔,2,positive,n
廣闊,2,positive,n
德性,2,negative,v
慫恿,2,negative,a
慮,2,negative,a
憂傷,2,negative,a
憂愁,2,negative,a
憎惡,2,negative,n
憤恨,2,negative,v
撒謊,2,negative,vg
敵意,2,negative,v
數落,2,negative,a
暴躁,2,negative,v
樂意,2,positive,v
熱烈,2,positive,v
獎金,2,positive,n
璀璨,2,positive,n
皺眉頭,2,negative,a
磕頭,2,positive,n
膚淺,2,negative,a
調皮,2,negative,n
談何容易,2,negative,z
豬頭,2,negative,v
賞,2,positive,v
賤貨,2,negative,a
賭博,2,negative,n
適,2,positive,l
適時,2,positive,n
遭遇,2,negative,v
遮掩,2,negative,n
遷就,2,negative,v
醉生夢死,2,negative,v
養生,2,positive,ad
鬧劇,2,negative,n
奮不顧身,2,positive,v
懊惱,2,negative,v
戰友,2,positive,i
擁,2,positive,v
擅自,2,negative,n
擔任,2,positive,i
激勵,2,positive,v
燃燒,2,negative,n
獨特,2,positive,v
磨損,2,negative,d
積蓄,2,positive,v
窺視,2,negative,v
興高采烈,2,positive,v
蕩,2,negative,a
親近,2,positive,vn
錯失,2,negative,n
險,2,negative,v
靜,2,positive,i
頭暈,2,negative,v
頹廢,2,negative,d
優先,2,positive,n
嚇跑,2,negative,a
嚇跑,2,negative,nr
懇求,2,positive,n
懇請,2,positive,a
應有,2,positive,vn
懦弱,2,negative,v
濫用,2,negative,v
糟蹋,2,negative,v
聳肩,2,negative,v
聳肩,2,negative,v
謊,2,negative,ad
蹉跎,2,negative,v
隱隱,2,negative,v
點火,2,negative,v
嚮往,2,positive,v
斷裂,2,negative,ng
斷開,2,negative,v
翻滾,2,negative,z
翻騰,2,negative,v
舊,2,negative,d
雜物,2,negative,v
壞事,2,negative,v
懲罰,2,negative,v
懶散,2,negative,v
贊同,2,positive,a
關上,2,negative,n
關鍵,2,positive,n
難上加難,2,negative,vn
嚴肅,2,positive,v
嚴肅,2,negative,v
寶物,2,positive,s
瀰漫,2,negative,n
籌備,2,positive,i
覺悟,2,positive,a
闡述,2,positive,a
爛掉,2,negative,n
纏綿,2,positive,v
纏繞,2,negative,v
護航,2,positive,v
護理,2,positive,v
轟炸,2,negative,v
囉唆,2,negative,a
囉嗦,2,negative,v
歡笑,2,positive,v
歡送,2,positive,n
纖細,2,positive,v
變本加厲,2,negative,v
變態,2,negative,z
驚嚇,2,negative,v
讓步,2,positive,v
讚美,2,positive,a
鬱悶,2,negative,i
一不小心,1,negative,n
一五一十,1,positive,v
一巴掌,1,negative,v
一心一意,1,positive,ns
一律,1,positive,a
一氣之下,1,negative,l
一乾二淨,1,positive,m
一無所有,1,negative,i
一無是處,1,negative,i
一等,1,positive,d
一竅不通,1,negative,i
了當,1,positive,i
二話不說,1,positive,i
人民,1,positive,l
人來人往,1,positive,m
人渣,1,negative,i
人權,1,positive,x
刀割,1,negative,l
十足,1,positive,n
三八,1,negative,i
三心二意,1,negative,n
上進,1,positive,n
下流,1,negative,n
下飯,1,positive,d
乞丐,1,negative,m
乞討,1,negative,i
亡羊補牢,1,negative,v
千金,1,positive,v
口才,1,positive,v
土豪,1,negative,n
大才,1,positive,v
大叫,1,negative,i
大好,1,positive,n
大言不慚,1,negative,n
大型,1,positive,n
大為,1,positive,x
大計,1,positive,v
大師,1,positive,d
大舉,1,negative,i
寸草不生,1,negative,b
小人,1,negative,x
小心謹慎,1,positive,n
小家子氣,1,negative,n
小偷,1,negative,d
小衝突,1,negative,i
小題大作,1,negative,n
不可理喻,1,negative,i
不划算,1,negative,n
不合時宜,1,negative,d
不成器,1,negative,nr
不利,1,negative,i
不吝,1,positive,i
不妙,1,negative,l
不忍,1,positive,i
不忠,1,negative,l
不爭,1,positive,a
不知所云,1,negative,a
不能容忍,1,negative,a
不起眼,1,negative,v
不得體,1,negative,v
不惜,1,positive,n
不符,1,negative,i
不堪入耳,1,negative,l
不經,1,negative,l
不置可否,1,negative,d
不道德,1,negative,v
不對,1,negative,v
不懂,1,negative,i
不禮貌,1,negative,d
不關,1,negative,i
不顧一切,1,negative,i
丑角,1,negative,d
中邪,1,negative,p
中肯,1,positive,d
中看,1,positive,v
中傷,1,negative,i
予取予求,1,negative,v
仁至義盡,1,positive,i
仇人,1,negative,n
允諾,1,positive,n
內耗,1,negative,nz
內斂,1,positive,x
公私分明,1,positive,n
分工,1,positive,i
分明,1,positive,i
勾引,1,negative,n
勾搭,1,negative,v
升起,1,positive,n
及時,1,positive,v
友好,1,positive,n
友善,1,positive,vn
反派,1,negative,v
反常,1,negative,v
天才,1,positive,v
天分,1,positive,v
天使,1,positive,c
天南地北,1,negative,a
天翻地覆,1,positive,a
太閒,1,negative,v
太遲,1,negative,d
少不了,1,positive,n
巴不得,1,positive,n
巴望,1,positive,n
引領,1,positive,ns
心如刀割,1,negative,i
心安理得,1,positive,n
心有餘悸,1,negative,x
心有餘悸,1,negative,l
心血,1,positive,l
心急如焚,1,negative,nr
心細,1,positive,v
心虛,1,negative,i
心滿意足,1,positive,i
手法,1,negative,i
支離破碎,1,negative,i
日有所思,1,positive,n
欠缺,1,negative,i
欠揍,1,negative,a
欠錢,1,negative,n
歹,1,negative,i
比肩,1,positive,n
毛病,1,negative,i
毛骨悚然,1,negative,i
水汪汪,1,positive,v
火熱,1,positive,v
世界末日,1,negative,v
主導,1,positive,n
乏味,1,negative,d
代溝,1,negative,n
代價,1,negative,i
令人信服,1,positive,z
令人窒息,1,negative,n
令人費解,1,negative,l
以期,1,positive,b
充斥,1,negative,a
充裕,1,positive,n
凹陷,1,negative,n
出乎意料,1,positive,l
出乎意料,1,negative,vn
出氣,1,negative,l
出頭,1,positive,f
功德,1,positive,v
功虧一簣,1,negative,a
加重,1,negative,v
加劇,1,negative,l
加薪,1,positive,l
包辦,1,negative,v
卡住,1,negative,v
古怪,1,negative,n
叮噹,1,positive,i
可取,1,positive,v
可容忍,1,negative,v
可樂,1,positive,nr
外來,1,negative,v
失去知覺,1,negative,nr
失序,1,negative,a
失明,1,negative,v
失約,1,negative,v
失常,1,negative,l
失敗者,1,negative,a
失意,1,negative,f
失業,1,negative,i
失態,1,negative,n
失魂落魄,1,negative,v
左,1,negative,v
平,1,positive,a
平心,1,positive,n
平板,1,positive,v
平緩,1,positive,n
平靜下來,1,positive,n
打人,1,negative,i
打死,1,negative,m
打岔,1,negative,n
打倒,1,negative,a
打動,1,positive,n
打通,1,positive,a
打亂,1,negative,i
打趣,1,positive,n
未定,1,negative,v
本分,1,positive,v
本份,1,positive,v
本事,1,positive,v
正大光明,1,positive,v
正義,1,positive,v
永久,1,positive,v
永生,1,positive,d
永恆,1,positive,d
瓦解,1,negative,x
甘之如飴,1,positive,r
生情,1,positive,nz
生變,1,negative,n
用不著,1,negative,d
由衷,1,positive,b
白眼,1,negative,z
皮毛,1,negative,v
交情,1,positive,i
交惡,1,negative,n
仰望,1,positive,v
仰賴,1,negative,x
任勞任怨,1,positive,d
任意,1,positive,n
任意,1,negative,n
伎倆,1,negative,n
先導,1,positive,n
光明正大,1,positive,v
光顧,1,positive,v
全力以赴,1,positive,i
全知全能,1,positive,v
再生,1,positive,v
劣根性,1,negative,n
危機,1,negative,n
合作,1,positive,i
同仇敵愾,1,positive,v
同感,1,positive,i
名氣,1,positive,n
回味,1,positive,v
回絕,1,negative,n
回禮,1,positive,n
地道,1,positive,vn
多才多藝,1,positive,i
多數,1,positive,n
多樣,1,positive,n
好強,1,positive,v
好辦,1,positive,v
如初,1,positive,v
如魚得水,1,positive,n
安分,1,positive,i
成性,1,negative,m
扣住,1,negative,r
曲解,1,negative,x
有力,1,positive,v
有目共睹,1,positive,t
有名無實,1,negative,i
有利,1,positive,v
有把握,1,positive,n
有效,1,positive,v
有效率,1,positive,n
有病,1,negative,n
有理,1,positive,l
有權,1,positive,i
死亡,1,negative,a
死不瞑目,1,negative,l
死刑,1,negative,a
