"id","title","all_content"
48,"被分手的心情抒發","被 分手 的 心情 抒發 兩個 月 前 被 前男友 以 沒 感覺 結束 了 兩年 三個 月 的 感情 但是 說 沒 感覺 就是 對 別人 有 感覺 分手 後 三天 就 跟 新歡 出去玩 還 po 限時 動態 而且 還帶 新歡 去 我們 最 喜歡 的 店 不 知道 是 自以 為 神不知鬼不覺 還是 怎麼樣 在 也 沒 刪 我 好友 的 情況 下 就 這樣 po 給我 看 加上 我 本來 就 有 懷疑對象 是 誰 馬上 就 推測 出 我 應該 是 被 無縫 了 QQ 一 開始 分手 的 理由 不外乎 是 說 我 不 體諒 他 工作 忙碌 硬是 要 跟 他 吵 對 他 來說 他 的 兄弟 比 女朋友 重要 個性 不合 無法 溝通 好 或許 這些 真的 都 是 我 的 問題 我 也 認 了 所以 我 從 他 提 分手 那刻 就 認清 我們 確實 不 適合 分手 或許 對 我們 才 是 好 的 雖然 我 很 認真 想 再 跟 他 磨合 而且 講一講 他 不 知道 跟 著 我 哭 什麼 現在 想想 可能 是 愧疚 吧 不過 真的 會 愧疚 嗎 只是 我 沒 辦法 接受 馬上 交新 女朋友 這種 事 斷聯 一個月 後 我問 他 是不是 愛上 別人 了 希望 他 老實 告訴 我 他 不讀 不回 我 才 知道 他 終究 是 個 孩子 跟 很多 人 一樣 不 懂得 處理 這個 問題 接下來 是 一連串 的 療傷 之旅 朋友 主管 同事 所有人 都 陪伴 著 我 還有 在 其它 板 po 文後也 有 一些 板友 寫信 安慰 我 是 第二次 失戀 了 所以 我 知道 時間 會 帶走 一切 下 一次 會 遇到 更好 的 在 這段 期間 要 好好 愛 自己 可以 去 運動 去 做 想 做 的 事 把 自己 打扮 漂亮 或是 認真 在 工作 上 最 痛苦 的 就是 我 全都 知道 失戀 該 怎麼 做 但 我 做 了 之後 還是 很 容易 想到 他 就 哭 交往 這段 期間 從 他 開 一台 破車 到 買 新車 從不 會 穿 搭 到 我 陪 他 去 買 衣服 變得 會 打扮 因為 買車 考慮 到 他 每個 月 要 繳車 貸 後來 就算 是過 紀念日 或 節日 我 說 吃 輕井澤 就 很 開心 跟 朋友 出去 的 時候 因為 我 不太會 跟 他 朋友 相處 我 自願 坐 後座 把 副 駕駛座 給他 朋友 讓 他們 聊天 然後 是 我 愛他 不 只 兩年 多 的 時間 從 我們 認識 就 偷偷 喜歡 著 他 喜歡 了 好久 他 的 每個 模樣 我 都 愛著 他 的 大 男人 脾氣 和 起床 氣 龜 毛 的 個性 因為 知道 他 不能 硬碰硬 所以 我 總是 用 我 自以 為 的 溫柔 對待 他 這 兩年 多來 哭過 再 多個 夜晚 我 都 沒有 想 放棄 過 但是 終究 是 我 被 放棄 了 今天 我 看到 他換 了 新 的 照片 是 笑 著 的 我 其實 看 了 也 不 恨 他 很 替 他 開心 他過 得 好像 很 幸福 我 覺得 我 真的 恨 不了 他 雖然 我 到 今天 都 還是 很 難過 想到 被 他 這樣 對待 還是 會 崩潰 覺得 過不去 但是 我 最近 很 喜歡 一句 話 是 說 懂得 愛人 才 是 大人 我 很 努力 的 愛過 他 了 不 知道 po 這篇 文會 不會 被 鞭 但 我 真的 很 希望 可以 抒發 一下 我 的 心情"
49,"女友想分手 我們卻都還在逞強","女友 想 分手 我們 卻 都 還在 逞強 我們 交往 八個 月 了 從 七個 月 左右 你 開始 告訴 我 感覺 淡 了 至今 不是 第一次 跟 我 提要 分開 想 分手 我 意識 到 的 原因 是 自己 抓 你 太緊 你 需要 自己 的 空間 和 時間 我 把 太 多 重心 放在 你 身上 讓 你 失去 自己 我 也 失去 魅力 你 也 有 在 努力 吧 我 知道 你 的 愛 可能 也 正在 消磨 關於 溝通 我 看 關係 黑洞 這本 書 意識 到 自己 的 焦慮 依戀 和 你 的 逃避 型 我們 的 溝通 開始 浮現 那麼 大 的 問題 現在 正 練習 收斂 自己 的 情緒 也 很 努力 不在 你 面前 哭泣 了 你 的 反應 我 都 說服 自己 沒關係 只是 很 多次 我 一 轉身 背對 你 還是 淚流 不停 關於 重心 我 逼 自己 唸書 準備 研究所 規定 自己 該 完成 的 事 都 要 有 期限 關於 相處 我 努力 想要 改變 同時 帶 你 嘗試 新 的 東西 盡 可能 抓緊 你 還愛我 的 感覺 一起 運動 的 邀約 你 拒絕 出遊 嫌 麻煩 看 日出 你 睡 前 答應 睡著 後 你 卻 不 起床 氣罵 我 甚至 每天 的 晚安 也 沒有 了 連說 一句 愛你想 你 都 要 提心吊膽 的 怕給 你 壓力 也 怕 你 還是 說 一句 不 確定 現在 事情 都 做 不好 的 我 這樣 的 我 好累 你 也好 累 從今 天 開始 我 慢慢 心疼 自己 了 換我 主動 分手 的 想法 一直 在 累積 等 我 真正 感受 不到 愛時 可能 是 我 提 的 吧 壞人 交給 我來當 吧 或許 你 不用 這麼 累 又 或許 是 我 不 甘心 被 拋下 吧 愛你 想 你 晚安 你 不 會來 這裡 看到 但 我 想 找 個 窗 口說 各位 也 晚安 歡迎 有 什麼 建議 或 槌 醒 更新 現在 我 做法 是 類似 神隱 一兩天 雖然 覺得 這樣 很 像 小朋友 但 或許 可以 再還 他 更 多 空間 去 思考 還 需不需要 我吧 嗎 這陣子 都 是 他 需要 我 我 就 出現 他 不要 我 我 就 只能 閃得 很遠 我 不 喜歡 這樣 唉"
50,"分手了","分手 了 為 了 一個 可能 很 幼稚 的 原因 分手 了 之前 就 跟 她 說過 不要 跟前 男友 有 任何 聯絡 被 我 發現 那次 這個 前男友 傳 訊息 還開 黃腔 事情 大概 是 他們 分手 後 女友 後來 有 一次 出國 玩 他 就問 那 一次 的 事情 然後 說 去 那邊 給誰幹 我 相信 沒有 一個 男板友 可容忍 女友 被 開 黃腔 甚至 說 這種 話 吧 那 一次 理智 差點 斷線 我 叫 她 馬上 封鎖 再有 下次 我會 直接 分手 昨天 我 冒 著 大雨 騎車去 租屋 處 找 女友 一起 吃晚飯 不久前 女友 辦 了 IG 我 就 在 想 該 不會 又 恢復 聯絡 了 吧 因為 LINE FB 都 封鎖 了 我們 都 有 雙方 手機 密碼 跟 指紋 所以 請 別戰 這點 果然 跟 上次 對話 一樣 說 妳 曾 是 我 生命 中 最 重要 的 人 之類 的 屁話 看到 妳 現在 過得 好 我 就 開心 開心 你媽 啦 幹 喔 黃腔 當然 不可 少 啊 什麼 妳 以前 不 就 喜歡 我 尿 尿 的 地方 看 完 後 我 意外 的 冷靜 跟 她 說 我 要 走 了 她 大概 也 知道 怎麼回事 追 了 出來 她 說 為 什麼 要 為 了 一個 過去 的 人 而 生氣 甚至 分手 她 說 為 什麼 有 需要 為 了 這件 事 影響 到 現在 的 我們 甚至 未來 問我 是不是 還 信不過 她 說 我 這樣 結束 感情 很 幼稚 說 只是 問候 也 沒 煩到 影響 到 我們 其實 上面 這些 疑問 上次 吵架 她 都 說過 了 我 跟 她 說 妳 現在 還在 說 這些 話 表示 上 一次 妳 根本 完全 沒 聽 進去 為 什麼 答應 我 的 事 妳 又 反悔 了 又 做 不到 了 她 說過 了 那麼 久 了 而且 她 記性 不好 聽到 這我 是 直接 走人 了 是 啊 可能 是 我 幼稚 吧 可能 就是 我 愛 猜忌 吧 其實 我 真的 能 感受 到 日常生活 女友 對 我 的 好 她 也 是 真的 沒空 去 搞 劈 腿 這種 東西 但 我 就 是 不 爽 啊 妳 說 前男友 已經 是 過去 式 了 那 妳 為何 執著 於 過去 而 不 考慮 妳 現在 另一半 的 感受 呢 妳 就 不 想想 我 的 感受 嗎 開 妳 黃腔 妳 還 可以 幫 她 護航 他 就是 年紀 比較 小 比較 幼稚 我 真的 不 知道 他 對 妳 到底 多 重要 重要 到 無視 我 的 感受 重要 到 無視 約定 騎車 返家 途中 原本 情緒 還 維持 得 不錯 騎到 一半 再也 壓抑 不住 放聲大哭 4 年 多 的 感情 結束 在 一個 荒唐 可笑 又 幼稚 的 理由 回到 家 後 我 把 脖子 上 的 項鍊 拿 下來 這條 項鍊 從 她 送 我 到 現在 我 不曾 拿下 我 想 也許 這個 舉動 能 幫 我 放下 她 吧 LINE 的 照片 不管 我們 曾經 如何 幸福 偶爾 吵 吵架 也 一直 都 是 我們 的 合照 我 把 照片 換了 告訴 自己 不要 再 想 她 了 也 把 她 封鎖 了 跟 她 說 如果 要 繼續 住 租屋 處去 找 房東 改 簽約人 決定 好 了 簡訊 我 躺 在 床上 翻來覆去 腦子 裡想 的 都 是 過去 在 一起 時 的 快樂 想到 她 對 我笑 想到 她 幫 我 剪頭髮 想到 手牽手 在 路上 逛 想到 醒來時 她 睡 在 我 旁邊 的 模樣 我 是不是 反應 過頭 了 是不是 我 太 小家子氣 了 是不是 我 猜忌 心 太重 了 各種 回憶 疑問 懊悔 與 不 捨 的 情緒 占滿 了 大腦 睡醒 前 我夢到 她 傳 LINE 給我 是 她 像 以往 一樣 叫 著 我 的 暱 稱 說 早安 還有 一張 有 愛心 的 貼圖 睡醒 後 我 打開 手機 什麼 也 沒有 我 想 要 走 出來 還要 很長 一段時間 吧"
51,"所以我們分手吧","所以 我們 分手 吧 時間 停 在 343 的 那天 你 對 我 提 了 分手 今天 我 還是 很 想 你 卻 不能 跟 你 說 明明 老師 就 在 前面 搞笑 般地 上課 眼淚 卻 自己 掉 了 下來 明明 電話 那頭 朋友 講得 興高采烈 眼淚 卻 自己 掉 了 下來 明明 買 了 飯才剛 準備 坐 下來 品嚐 眼淚 卻 自己 掉 了 下來 明明 聽著 館長 王八蛋 幹 你 娘 雞巴 眼淚 卻 自己 掉 下 下來 明明 玩著 收藏 很久 卻 沒玩 的 電動 眼淚 卻 自己 掉 了 下來 明明 什麼 都 沒有 什麼 都 沒有 發生 眼淚 卻 自己 掉 了 下來 我 還是 很 想 你 再也不能 跟 誰 說 這句 話 我 真的 很 想 你 拼命 忍住 不能 說 這句 話 再見 就 好 這樣 對 彼此 都 好 可是 我 真的 很 想 你 你 是 故里 而 我 再也 沒有 可以 回去 的 地方"
52,"單身還是分手？","單身 還是 分手 另一半 對 我 態度 不好 已經 很久 了 感覺 他 已經 沒有 很 喜歡 我 有時候 隨便 跟 他講 一句 玩笑話 他 都 會 潑 我 冷水 工作 心情 不好 就 會 兇 我 或 愛理不理 心情 好 的 時候 會 跟 我 說 笑 但 他 心情 不好 的 比例 大概 佔 了 七成 吧 可是 除此之外 他 其他 的 條件 都 是 適合 我 的 包括 正直 誠實 善良 單純 道德感 強烈 愛 乾淨 興趣 職業 和 生活 背景 相似 有話 聊 跟 我 有 高度 重疊 的 生活圈 和 朋友 我 自己 知道 我 不 可能 在 遇到 跟 他 一樣 好 的 了 我 生活圈 有 很多 男生 也 曾 有 幾個 追求者 都 沒有 跟 他 一樣 的 所以 我 知道 自己 很 幸運 了 但是 又 常 被 他 這樣 的 情緒 影響 心情 覺得 自己 很 不 被 愛 看到 路上 的 情侶 都 很 想 哭 可是 我 真的 長 得 很 噁心 而且 也 不 年輕 了 如果 跟 他 分手 以後 應該 都 會 孤孤單單 的 了 想 知道 如果 是 你們 會 怎麼 做呢 唉"
53,"分手了...","分手 了 我們 快 1000 天 了 我 每天 都 很 想 你 跟 你 見面 都 很 幸福 這 四天 我們 一起 出去玩 一切 都 如 往常 一樣 最後 一個 晚上 被 我 發現 你 與 遊戲 裡的 朋友 互稱 公婆 這 四天 妳 常常 玩著 手機 不理 我 原來 都 是 跟 他 一起 打 boss 跟 他 分享 你 的 旅遊 生活 還 故意 略 掉 了 我 你 當天 晚上 說 你 不要 遊戲 了 你 只要 我 我 把 你 的 遊戲 密碼 改掉 你 把 那個 男 的 line 刪掉 隔天 我 卻 發現 你 只是 把 它 隱藏 你還 求助 朋友 怎麼 把 密碼找回 我 明明 都 已經 原諒 你 了 你 卻 又 欺騙 我 今天 早上 我 哭 得 很慘 把 你 吵醒 了 你 跑 來 我 床上 靠 著 我 跟 我 道歉 說 你 錯 了 說 你 以 為 你 昨天晚上 可以 兩者 兼得 但 你 現在 只要 我 其他 什麼 都 不要 了 但 我 真的 不敢相信 你 了 這 三年 我 對 你 非常 好 你 也 對 我 非常 好 但 為 什麼 一個 遊戲 可以 撕毀 我們 近三年 的 感情 為 什麼 你 就是 覺得 他們 跟 我 一樣 重要 我 真的 不 懂 我 甚至 感受 不到 你 有 想 和 好 的 意圖 我問 你 願不願意 到 我家 跟 我 談談 你 卻說 禮拜五 再說 我 真的 很想 繼續 信任 你 繼續 跟 你 再 一起 唉 心情 很亂 邊哭邊 打 的 文筆 紊亂 傷眼 請 版友 們 見諒 哭 快 一 小時 了 有板友 可以 給些 止住 悲傷 的 建議 嗎 更新 他 說 互道 愛 你 晚安 都 只是 開玩笑 就 只是 遊戲 而已 依 我 對 他 這 三年 的 了解 我 完全 相信 他 因為 他 就是 一個 這樣 的 女孩 我 清楚 這段 會 被 噓爆 但 就 請 版友 們 暫時 相信 吧 我 真的 很 想 跟 他 繼續 再 一起 但 又 不想 破壞 我 的 原則 我 交往 前 就 說過 曖昧 出軌 的話 沒有 任何理由 直接 分 他 的 這種 行為 在 別人 眼中 就是 搞 曖昧 但 我 很 清楚 他 真的 沒有 要 搞 曖昧 的 想法"
54,"暫時分手的抒發","暫時 分手 的 抒發 被 暫時 分手 的 我 依然 犯賤 依然 要 我 陪 她 講話 聊 心事 還說 我 是 她 的 心靈 伴侶 說當 朋友 不錯 沒有 男女朋友 的 壓力 其實 現在 回想起來 還蠻 可笑 的 我們 透過 交友 軟體 認識 從 幹話 講到 心底 話 我們 向 彼此 說出 我們 的 秘密 以及 過去 的 感情 我們 知道 彼此 的 傷口 以及 那些 過去 的 枷鎖 聊 了 一陣子 後 我們 約 出來 也 見面 了 你 主動 牽起 我 的 手 你 的 唇 主動 貼 上 我 的 唇 我 沒有 逃避 我 選擇 被動 的 迎合 你 我問 你 我們 是 什麼 關係 你 說 在 一起 吧 女孩 也 說 要 好好 照顧 我 破碎 的 心 願意 好好 的 珍惜 彼此 你 過去 也 說 你 很 喜歡 我 我 知道 身為 護理 師的 辛苦 與 勞累 我試 著 不 去 打擾 你 只要 有 時間 我 都 排出來 給 妳 幫 你 把 生活 大小 事務 都 打理 好 冰箱 也 幫 你 填滿 地 也 掃 了 碗 也 洗 了 你 的 衣物 也 是 我 幫 你 洗 好 折 好 放 回去 的 當你 需要 我時 你 跟 我 撒嬌 我 以 為 那 也 是 一種 依賴 與 愛情 與 喜歡 可惜 的 事 就 在 前 幾天 你 跟 我 說 你 不再 那麼 喜歡 我 認為 我 的 付出 跟 你 的 喜歡 不 成正比 覺得 是不是 不 適合 了 我 說 我們 還 可以 再 努力 你 說 你 也 願意 在 用 半年 的 時間 試試看 但是 你 又 反悔 了 覺得 要 暫時 分開 等到 我 再次 吸引 到 你 時 你 才 要 回來 我 哭 著 在 電話 裡 說好 我 等 你 你 也 說 你 會 努力 的 發現 我 的 優點 喜歡 上 我 我 依然 很 想 你 依然 還是 很 愛 你 要 忘記 你 喜歡 你 真的 好難 女孩 你 知道 嗎 暫時 分開 這種 事情 沒有 暫時 的 女孩 你 知道 嗎 你 讓 我 又 再度 學到 一課 這段 夏日 戀情 或許 就 這樣 吧 就 像 玩具 總動員 裡的 牧羊女 說 的 我 是 屬於 我 自己 這個 世界 這麼 大 何必 屈就於 妳 呢 真 希望 我 也 能 如此 瀟灑 啊 Sent from JPTT on my iPhone"
55,"男友因為夢想還有現實經濟問題提分手","男友 因為 夢想 還有 現實 經濟 問題 提 分手 感謝 各位 的 意見 跟 回應 每 一則 我 都 看過 包括 回文 的 留言 也 是 刪文 的 那 篇 也 是 看 完 以後 確實 讓 人 清醒 許多 還有 第一次 在 PTT 上 發文 就 發現 世界 還是 很 溫暖 的 謝謝 安慰 我 的 大大 們 也 謝謝 敲醒 我 的 那些 見血 的 留言 我 決定 現階段 不再 期待 和 他 有 復 合 的 可能 沒有 他 我 的 生活 好像 沒什麼 變化 只是 少 了 LINE FB 的 通知 少 了 一個 分享 生活 的 人 這些 朋友 也 都 能 做到 如果 他 那麼 自私 我 也 要 先想 自己 才 對 希望 跟 我 一樣 正在 經歷 失戀 的 你們 都 能 趕快 走 出來 雖然 真的 很痛 很 難過 上個月 用 了 很多 方法 終於 讓 避而不見 的 前男友 答應 見面 談 分手 原因 他 的 原因 是 為 了 他 的 夢想 之前 的 積蓄 都 花光 了 加上 工作 非常 不 穩定 好幾個 月 沒什麼 收入 每次 好像 有點 希望 時 到 最後 都 是 一場空 他 已經 沒 自信 自己 能 在 30 歲 前 成功 所以 不想 拖累 我 不想 我 為 了 他 犧牲 就算 我 是 他 努力 想 成功 的 動力 也 是 他 目前 遇見 最好 的 女生 但是 他 不能 自私 的 綁住 我 就算 朋友 罵 他 這樣 想 很 沙豬 他 還是 堅決 要 跟 我 分手 讓 我 去 找 能夠 陪 我 經濟 又 穩定 的 另一半 不要 再 繼續 跟 著 他 吃苦 說 這 幾年 他 已經 讓 我 受 很多 委屈 了 工作 要 忙 到 很 晚 假日 也 常常 要 工作 所以 沒 辦法 很常 陪 我 也 經常 臨時 取消 約會 可是 就算 這樣 這 幾年 我們 還是 走 過來 了 我 不 明白 為 什麼 選擇 現在 非得 要 分手 才行 我 好 難過 好 傷心 明明 我 都 說過 我 能 等 他 也 願意 陪 他 這 幾年 我 也 真的 做到 了 為 什麼 他 還是 要 分手 為 什麼 不是 選擇 和 我 一起 去 克服 那些 困難 我 想 幫忙 也 不 願意 我 真的 不想 分手 至少 在 最 低潮 的 現在 我 還能 陪 他 當他 可以 吐苦水 說 心事 的 對象 為 什麼 不站 在 我 的 角度 去 想 呢 明 明說 的 那些 我 都 能 忍受 啊 有沒有 辦法 可以 重新 開始 或是 該 就此打住 分手 就 分手 了 呢"
56,"情侶出國真的會吵到分手","情侶 出國 真的 會 吵到 分手 我 工作 一年 男友 研究所 就讀 中 我 在 八月 有 一段 空檔 想 排出 國 問了 男友 要 不要 一起 去 如果 要 去 我 很 樂意 借 他 錢 不想 去 也 沒關係 我 可以 自己 去 或 找 朋友 目前 遠距 中 以下 溝通 都 是 用 line 和 電話 我 從 以前 的 出國 旅遊 都 是 跟團 喜歡 大吃大喝 大睡 當 一個 大型 廢物 被 載 去 景點 從來沒 做 功課 要 買 啥 吃 啥 我 討厭 訂機票 訂房間 排 行程 這些 是 他 本來 就 知道 的 事 我問 男友 對 行程 有沒有 意見 他 說 都 可以 我 有 加入 一個 旅行社 群組 經常 會 釋出 一些 便宜 團或 機票 上週 我 看到 一個 九州 團很有 興趣 便 貼給 他 他 說 只有 一晚 有 溫泉 飯店 他 不 想要 我 就 作罷 後來 他 突然 說 想 去 沖繩 自由 行 要 我 協助 訂機票 和 飯店 現在 旺季 票 很 貴 我 也 知道 有 一晚 我們 一起 看到 覺得 ok 的 機票 當下 沒有 馬上 訂 隔天 一早 一查 多 了 五百 我 實在 不想 面對 旺季 只有 越來越 貴 一直 在 浮動 的 機票 很 影響 心情 我 便 提議 旅行社 有機 酒 代訂 服務 大約 一萬 初 房間 還是 有星 的 他說 明明 可以 自己 來 不想 給 旅行社 賺 我 說 旅行社 就是 有 本事 用 團體 把 成本 壓低 賺 差價 自己 訂 和 旅行社 訂 花費 明明 差不多 但 我們 可以 省 很多 力氣 他 不 接受 我 的 說法 之後 不了了之 昨天下午 我 又 看到 一個 九州 團 旅展 期間 報名 折 2000 元 更 便宜 而且 有 兩晚 溫泉 飯店 符合 他 的 需求 沒有 自由 行程 符合 我 的 需求 不用 想 行程 結果 他說 想要 有 自由 活動 的 時間 可以 多 認識 別的 國家 和 街道 以前 曾經 一起 出國 過 也 沒 看過 他 什麼 走 出去 看看 街道 他說 那 是 以前 現在 不 一樣 我 一 整個 黑人 問號 後來 我 告訴 他 可不可以 一 開始 就 把 需求 講清楚 現在 讓 我 覺得 他用 很多 像 找碴 的 理由 打槍 我 找 的 行程 我 很 不 開心 如果 一 開始 就 講好 我 就 會 自己 報名 或是 找 別的 朋友 一起 從 一 開始 就 沒有 勉強 要 一起 去 後來 我 說 要 自己 去 他 從 昨晚 到 現在 都 不 跟 我 聯絡 我 真的 傻眼 到 不行 如果 發現 身邊 對象 不 適合 的 趕快 安排 一起 出國 反正 還沒 出國 就 有 可能 吵到 要 分手"
57,"6/22分手了","6 22 分手 了 分手 兩天 了 是 我 提 的 但 還是 好悶 雖然 時間 也 才 短短 一年 多 但 也 去過 好多 地方 創造 好多 回憶 遠距離 與 無限 的 爭吵 是 這段 感情 最大 的 敗因 雙方 無法 體諒 對方 的 心情 吵 完架 當下 雖然 都 好 了 但 從來 都 沒有 真正 正視 問題 存在 也 總是 為 了 同樣 幾種 事情 重複 爭吵 對 我 來說 分手 也 是 一種 解脫 長 痛 不如 短痛 以 現在 的 學校 工作 或 對 未來 的 展望 就 能 知道 將來 我們 不會 走 在 一起 不論是 她 想要 的 出國 實習 或是 想朝 空姐 這方面 努力 相對 我 來說 都 是 完全 沾不上邊 的 我 覺得 很 可惜 曾經 覺得 可以 一起 互相 扶持 到 未來 的 我們 價值觀 越來越 不同 遠距離 加上 愈來愈多 觀念 的 差距 也 使 我們 爭吵 愈 一發 不可收拾 妳 不會 看 PTT 但 我 還是 想 分享 出來 抒發 心情 屬於 我們 第一次 出去玩 的 地點 我 每年 還是 會 去 當 我們 週年 時 一起 重返 那個 地方 的 時候 我 說 一樣 的 是 人事 時 地物 不 一樣 的 是 心情 與 身分 待 我 下 一次 自己 去 時 一樣 的 只 剩 那個 地方 了 但 分手 後 就 馬上 追蹤 還在 一起 時 就 有 瞞 著 我 偷偷 聯絡 的 有錢 前男友 這又是 另 一個 故事 了"
58,"後悔分手","後悔 分手 原本 是 自己 提 分手 的 現在 又 想 復 合 了 知道 自己 在 想 什麼 又 不 知道 該 如何 阻止 自己 跟前 任談 分手時 鬧 得 不 愉快 互罵 肢體 拉扯 都 有 了 明明 發生 這些 我 還在 想 他 他 明明 罵 我 罵 得 難聽 為 了 不讓 我 離開 也 推 我 或 抓 著 我 不放 但 我 還是 會 想起 他 對 我 的 好 在 一起 時 也 是 無微不至 鬧 小 脾氣 時 也 會 安撫 我 正式 分手 後 前任 有 打電話 來 說 之前 的 鬧劇 都 是 故意 的 因為 太 生氣 了 才 有 這些 舉止 要 我 想想 如果 沒講 分手 是不是 一切 很 美好 他 說 復 合 他 絕對 不會 再 讓 我 害怕 而且 我 這樣 的 人配 他 剛剛 好 說 我 再也 找 不到 跟 他 一樣 好 的 人 了 我 後來 想想 我 也 不 漂亮 也 沒 錢 人生 也 很 無趣 他 說 我們 兩個 可以 變得 更好 一起 努力 變得 更好 他 說給 我 兩個 禮拜 思考 再 打給 他 我 懷疑 自己 也 懷疑 他 兩個 魯蛇能 變得 更好 嗎 不行 吧 但 我 發現 分手 後 我 的 情緒 一直 在 谷底 我 完全 做不了 事 連 肚子餓 了 非餓 到底 不吃 刻意 的 虐磨 自己 我 是 個 不 獨立 的 人 非常 喜歡 依賴 交往 對象 當我想 去 做 什麼 時 可是 我 非常 害怕 我會 假裝 我 只有 那麼 點怯 步 的 態度 向 交往 對象 訴苦 而 對方 清 描淡寫 的 鼓勵 也 足以 鼓舞 我 踏出 第一步 如此 而言 我 是不是 該 先 抓住 這根 浮木 或許 他 也 不 只是 根浮木 這樣 想 對 嗎 最後 他 說 他 等 不了 了 封鎖 我 了 而 我 後悔 了 動力火車 不過 想 找 個人 講講 話 http www youtube com watch v 1 M5Ey4mM0 4--"
59," 分手了","分手 了 交往 了 5 年 昨天 我們 正式 分開 了 原因 是 交往 久 了 已 沒有 愛情 只 剩下 家人 般的 關心 雖然 我 不 甘願 也 不服氣 因為 我 還有 愛 但 我 還是 接受 了 他 一 決定 今早 他 傳 了 訊息 給我 說 要 我 好好 照顧 自己 好好 過 生活 並說 說不定 不久 的 將來 我們 可以 再 找回 以前 的 感覺 但 不是 U 73 B0 在 而 我 知道 我該 好好 過日子 不過 要 放下 真的 很難 所以 我 又 約 了 他 見面 好好 的 道別 不 知道 他 那句話 是 真心 或 謊話 但 我 是 相信 了"
60,"分手不快樂","分手 不 快樂 隱約 嗅到 了 無心 受不了 被 冷淡 對待 的 煎熬 自以 為 斷開 是種 解脫 結果 結束 反而 是 另 一種 層面 的 痛苦 各種 回憶 不斷 湧現 每天 就 像 被 車裂 一樣 各種 情緒 交雜 出現 有時候 好多 了 有時候 又 困住 了 不 明白 自己 只是 捨不得 還是 還愛著 車廂 外 又 下雨 了 我 的 心 也 下雨 了 只是 你 不再 為 我 撐傘 了 親愛 的 我 想 你 了 分 不 分手 都 不 快樂"
61,"愛情的全貌 謝謝你 分手吧","愛情 的 全貌 謝謝 你 分手 吧 兩年 三個 月 開始 結束 從 開始 曖昧 牽手 抱著 彼此 跳舞 躺 在 草皮 上 跟 你 一起 抬頭 看著 星空 下定決心 要 跟 對方 展開 生活 時 的 勇氣 走入 生活 後 我們 小吵小鬧 的 日常 伴隨 著 兩隻 貓咪 的 熱鬧 生活 曾經 面對面 凝視 著 對方 討論 著要 生 幾個 孩子 每次 吵架 時 的 激烈 像是 一場 戰爭 誰 也 不讓 誰 吼叫 尖叫 著 扯開 喉嚨 大聲 控訴 著 自己 的 訴求 到 最後 選擇 遷就 原諒 忍讓 並對 彼此 抱著 一絲 希望 希望 對方 會 改變 但是 好景不常 當我 看到 你 的 賴閨蜜 群組 常常 在 抱怨 我 的 缺點 只要 每次 吵架 你 就 會 跟 你 的 姐妹 們 數落 著 我 的 不是 當初 真的 不該 這麼 犯賤 去 看 的 慢慢 的 你 煮飯 我 洗碗 的 甜蜜 生活 漸漸 變調 開始 對 彼此 越來越 沒 耐心 滿是 怨懟 從不 幫忙 付 水電費 到 出去 約會 我 囊括 大部分 的 餐費 到 你 幫忙 採買 生活用品 誰 不 做 家事 體會 到 當 夫妻 不 容易 面對 生活 和 對方 的 生活習慣 磨合 跟 溝通 並行 突然 有 一天 我 想像 著 一個 人 單身 時 的 生活 突然 覺得 那樣 的 生活 好 輕鬆 為 什麼 現在 被 對方 壓 的 喘 不過 氣 越來越 不 快樂 感受 不到 自己 的 呼吸 整個 人像 木偶 般 感受 不到 愛情 的 活力 動力 所以 發現 彼此 都 停留 在 原地 沒有 前進 還 有些 怪罪 自己 是 自己 不好 讓 你 也 跟 變得 不好 拿出 勇氣 提了 分手 那 常常 脫口而出 的 現在 是 認真 的 說 了 出來 兩年 三個 月 的 你 再見 很痛 但是 我 選擇 割捨 我愛你 但 不想 再害 你 浪費 你 的 寶貴 青春 對不起 是 我 不 努力 再見 也 不再 見 分手 吧 親愛 的 https youtu be XwpgYOiJ06Y Sent from JPTT on my iPhone"
62,"分手一個月對方即有新對象....","分手 一個月 對方 即 有 新 對象 跟前 女友 剛 分手 滿 一個月 因為 遠距離 的 關係 分手 了 從剛 分手 說 當好 朋友 到 後來 女生 覺得 聯絡 太 頻繁 很煩 加上 剛 分手 窮追不捨 的 挽回 被 扣分 慢慢 的 聯絡 越來越 淡 今天 也 得知 她 跟 一個 分手 前 認識 的 T 在 一起 了 這個 T 在 分手 前 就 開始 追 她 因為 我 跟前 女友 是 遠距離 在 我 陪 不了 她 的 時候 對方 狂獻殷 勤 最後 還是 把 她 打動 了 我 現在 在 床上 心痛 的 不得了 她 也 在 對方 的 床上 幸福 的 不得了 其實 也 是 想給 她 祝福 因為 自己 陪 不了 她 如果 對方 能 好好 照顧 她 也 是 好事 但 內心 還是 心痛 到 不行 再來 想到 分手 那 時候 女生 因為 我 祝福 她 找 下 一個 人 可以 比 我 好 而 生氣 說 跟 我 分開 不是 要 找 下 一個 是 現在 適合 一個 人 結果 一個月 後 覺得 格外 諷刺 板上 的 分手 調適 文章 已經 看 了 一整天 但 怎麼 還是 調適 不 過來 想到 後天 有 約 她 她 說 再 看看 也 不 知道 到底 要 怎麼 面對 她 了"
